"","AOI","Light","Temp","Time","Cell","Species","final_fvfm","initial_fvfm","post","fvfm_prop_io","unique_sample1","unique_sample","Species_sample"
"401",13,"Low",44,30,"C3","Eucalyptus pauciflora",0.797,0.829,0.562,0.96139927623643,5,62,"Eucalyptus pauciflora_62"
"402",13,"Moderate",48,60,"C3","Eucalyptus pauciflora",0.212,0.811,0,0.261405672009864,5,63,"Eucalyptus pauciflora_63"
"403",13,"None",30,30,"C3","Eucalyptus pauciflora",0.818,0.845,0.807,0.968047337278106,5,64,"Eucalyptus pauciflora_64"
"404",13,"High",30,15,"C3","Eucalyptus pauciflora",0.811,0.799,0.777,1,5,61,"Eucalyptus pauciflora_61"
"405",13,"High",52,30,"C3","Eucalyptus pauciflora",0.177,0.823,0.067,0.215066828675577,5,61,"Eucalyptus pauciflora_61"
"406",13,"Moderate",52,15,"C3","Eucalyptus pauciflora",0.173,0.82,0.224,0.210975609756098,5,63,"Eucalyptus pauciflora_63"
"407",13,"Low",44,5,"C3","Eucalyptus pauciflora",0.855,0.82,0.726,1,5,62,"Eucalyptus pauciflora_62"
"408",13,"Low",58,5,"C3","Eucalyptus pauciflora",0,0.825,0.318,0,5,62,"Eucalyptus pauciflora_62"
"409",13,"Low",54,15,"C3","Eucalyptus pauciflora",0.251,0.824,0.163,0.304611650485437,5,62,"Eucalyptus pauciflora_62"
"410",13,"Low",52,5,"C3","Eucalyptus pauciflora",0.463,0.856,0.368,0.54088785046729,5,62,"Eucalyptus pauciflora_62"
"411",13,"Low",48,5,"C3","Eucalyptus pauciflora",0.709,0.857,0.677,0.82730455075846,5,62,"Eucalyptus pauciflora_62"
"412",13,"Low",48,15,"C3","Eucalyptus pauciflora",0.478,0.882,0.394,0.541950113378685,5,62,"Eucalyptus pauciflora_62"
"413",13,"Moderate",52,5,"C3","Eucalyptus pauciflora",0.374,0.817,0.094,0.457772337821297,5,63,"Eucalyptus pauciflora_63"
"414",13,"None",54,5,"C3","Eucalyptus pauciflora",0.526,0.832,0.579,0.632211538461539,5,64,"Eucalyptus pauciflora_64"
"415",13,"Low",52,15,"C3","Eucalyptus pauciflora",0.306,0.847,0.093,0.361275088547816,5,62,"Eucalyptus pauciflora_62"
"416",13,"Moderate",52,60,"C3","Eucalyptus pauciflora",0.089,0.831,0,0.107099879663057,5,63,"Eucalyptus pauciflora_63"
"417",13,"Moderate",52,30,"C3","Eucalyptus pauciflora",0.116,0.814,0.065,0.142506142506143,5,63,"Eucalyptus pauciflora_63"
"418",13,"High",30,30,"C3","Eucalyptus pauciflora",0.794,0.81,0.739,0.980246913580247,5,61,"Eucalyptus pauciflora_61"
"419",13,"High",52,5,"C3","Eucalyptus pauciflora",0.073,0.823,0.188,0.0886998784933171,5,61,"Eucalyptus pauciflora_61"
"420",13,"Moderate",30,15,"C3","Eucalyptus pauciflora",0.826,0.824,0.827,1,5,63,"Eucalyptus pauciflora_63"
"421",13,"Low",54,5,"C3","Eucalyptus pauciflora",0.492,0.826,0.479,0.595641646489104,5,62,"Eucalyptus pauciflora_62"
"422",13,"Low",52,60,"C3","Eucalyptus pauciflora",0.147,0.87,0,0.168965517241379,5,62,"Eucalyptus pauciflora_62"
"423",13,"Low",52,30,"C3","Eucalyptus pauciflora",0,0.831,0.074,0,5,62,"Eucalyptus pauciflora_62"
"424",13,"Low",48,60,"C3","Eucalyptus pauciflora",0.23,0.868,0,0.264976958525346,5,62,"Eucalyptus pauciflora_62"
"425",13,"Low",48,30,"C3","Eucalyptus pauciflora",0.477,0.861,0.272,0.554006968641115,5,62,"Eucalyptus pauciflora_62"
"426",13,"Low",44,60,"C3","Eucalyptus pauciflora",0.583,0.826,0.429,0.705811138014528,5,62,"Eucalyptus pauciflora_62"
"427",13,"None",30,5,"C3","Eucalyptus pauciflora",0.85,0.859,0.814,0.989522700814901,5,64,"Eucalyptus pauciflora_64"
"428",13,"None",58,5,"C3","Eucalyptus pauciflora",0.405,0.796,0.515,0.508793969849246,5,64,"Eucalyptus pauciflora_64"
"429",13,"High",30,5,"C3","Eucalyptus pauciflora",0.839,0.809,0.758,1,5,61,"Eucalyptus pauciflora_61"
"430",13,"High",48,30,"C3","Eucalyptus pauciflora",0,0.869,0.12,0,5,61,"Eucalyptus pauciflora_61"
"431",13,"High",44,5,"C3","Eucalyptus pauciflora",0.715,0.876,0.543,0.8162100456621,5,61,"Eucalyptus pauciflora_61"
"432",13,"High",42,30,"C3","Eucalyptus pauciflora",0.625,0.833,0.312,0.750300120048019,5,61,"Eucalyptus pauciflora_61"
"433",13,"High",40,60,"C3","Eucalyptus pauciflora",0,0.829,0,0,5,61,"Eucalyptus pauciflora_61"
"434",13,"High",48,5,"C3","Eucalyptus pauciflora",0.411,0.863,0.276,0.476245654692932,5,61,"Eucalyptus pauciflora_61"
"435",13,"High",48,15,"C3","Eucalyptus pauciflora",0.138,0.868,0,0.158986175115207,5,61,"Eucalyptus pauciflora_61"
