unique_sample,response_type,threshold,ctmax_1h,ctmax_1m,z_1h,z_1m,r_squared_1h,r_squared_1m,valid_fit,issues
9,fvfm_absolute,T0.3,52.24627156128746,53.89337500811757,-0.9263010930452319,-0.9263010930452318,0.8100166375994792,0.8100166375994793,TRUE,NA
10,fvfm_absolute,T0.3,47.385650894092855,46.279161502941115,0.6222695571667575,0.6222695571667576,0.556757884413918,0.5567578844139179,TRUE,NA
11,fvfm_absolute,T0.3,45.62162502718977,51.630078537153885,-3.3790452351383298,-3.3790452351383307,0.9958384604136151,0.9958384604136151,TRUE,NA
12,fvfm_absolute,T0.3,46.50702238710791,48.06880415690399,-0.878317729978888,-0.8783177299788881,0.94291549977351,0.94291549977351,TRUE,NA
13,fvfm_absolute,T0.3,45.345200115810215,50.26851176436066,-2.768781141361407,-2.768781141361407,0.9993863653210443,0.9993863653210443,TRUE,NA
14,fvfm_absolute,T0.3,39.96260993252081,44.72113025285404,-2.676105488386635,-2.6761054883866353,0.9955101023651189,0.9955101023651189,TRUE,NA
15,fvfm_absolute,T0.3,44.08437546488034,49.89536199016244,-3.267993385842947,-3.267993385842947,0.9991474995669964,0.9991474995669964,TRUE,NA
16,fvfm_absolute,T0.3,44.5571999205231,49.34089377744702,-2.6902626286103763,-2.6902626286103763,0.9959866389572345,0.9959866389572345,TRUE,NA
17,fvfm_absolute,T0.3,40.32477122603928,46.213636815938195,-3.31179115872644,-3.311791158726441,0.9967847473358552,0.9967847473358552,TRUE,NA
18,fvfm_absolute,T0.3,40.67657286359735,48.45734325231071,-4.375764090391425,-4.375764090391426,0.9994138950456678,0.9994138950456678,TRUE,NA
19,fvfm_absolute,T0.3,45.672801161962965,55.40458728808562,-5.4729799413986795,-5.472979941398681,0.9968973368978871,0.9968973368978871,TRUE,NA
20,fvfm_absolute,T0.3,46.03930046394421,53.38778330215734,-4.132653415522253,-4.132653415522255,0.9963932583602191,0.9963932583602191,TRUE,NA
21,fvfm_absolute,T0.3,45.815240292891865,52.99079276872593,-4.0354005174115075,-4.035400517411508,0.996776553781045,0.996776553781045,TRUE,NA
22,fvfm_absolute,T0.3,45.70160992214843,52.68712124150244,-3.9285248191608284,-3.9285248191608293,0.996558070306095,0.9965580703060952,TRUE,NA
23,fvfm_absolute,T0.3,46.555629538413676,49.70861310158883,-1.773180747416675,-1.773180747416675,0.9980225463655386,0.9980225463655386,TRUE,NA
24,fvfm_absolute,T0.3,54.42510824712064,56.56529418611042,-1.2036017400252268,-1.2036017400252268,0.9363191849466405,0.9363191849466407,TRUE,NA
25,fvfm_absolute,T0.3,55.031848621625244,62.61605393791298,-4.26521946018451,-4.26521946018451,0.9966832132779101,0.9966832132779101,TRUE,NA
26,fvfm_absolute,T0.3,46.28667702666032,52.237080538705634,-3.3463989695823058,-3.3463989695823058,0.9991428742301746,0.9991428742301746,TRUE,NA
27,fvfm_absolute,T0.3,40.124879006979384,47.37790328502825,-4.078969253309582,-4.078969253309582,0.9990794042539902,0.9990794042539902,TRUE,NA
28,fvfm_absolute,T0.3,NA,NA,NA,NA,0.052018908958647476,0.05201890895864751,FALSE,Poor fit (R² = 0.052)
29,fvfm_absolute,T0.3,40.76660455906488,47.67591743294615,-3.8856721959903884,-3.8856721959903884,0.99734201204217,0.99734201204217,TRUE,NA
30,fvfm_absolute,T0.3,40.9766510692446,48.35284843507322,-4.148239562993962,-4.148239562993963,0.9990173292114638,0.9990173292114638,TRUE,NA
31,fvfm_absolute,T0.3,47.18838584020663,56.796747184287156,-5.40356808342793,-5.403568083427931,0.9874879361756091,0.9874879361756094,TRUE,NA
32,fvfm_absolute,T0.3,46.68072985591145,52.41714966228435,-3.2260584160853893,-3.2260584160853893,0.9924666784829631,0.9924666784829631,TRUE,NA
33,fvfm_absolute,T0.3,55.05872179408104,53.146976444561076,1.0751308973899094,1.0751308973899094,0.6019380641794864,0.6019380641794861,TRUE,NA
34,fvfm_absolute,T0.3,45.6625095091958,49.46949249031489,-2.1409781537412615,-2.1409781537412615,0.9968058298709864,0.9968058298709864,TRUE,NA
35,fvfm_absolute,T0.3,54.27043062575318,57.283079656526596,-1.6942591526583728,-1.694259152658373,0.9350366407256582,0.9350366407256582,TRUE,NA
36,fvfm_absolute,T0.3,54.35417747157077,60.71479206088962,-3.5770942364697693,-3.5770942364697693,0.9890755561377848,0.9890755561377848,TRUE,NA
37,fvfm_absolute,T0.3,46.42412879512817,55.785786648382704,-5.264826516436501,-5.264826516436503,0.9750015542846181,0.9750015542846181,TRUE,NA
38,fvfm_absolute,T0.3,48.10125135790913,57.54418407554651,-5.310534025494196,-5.310534025494196,0.9902466823532501,0.9902466823532503,TRUE,NA
39,fvfm_absolute,T0.3,47.008824830458046,53.49432210813349,-3.64732599449916,-3.6473259944991603,0.9900232060947997,0.9900232060947997,TRUE,NA
40,fvfm_absolute,T0.3,40.5910698506049,48.191637192378685,-4.274421166441227,-4.274421166441227,0.9995294573846147,0.9995294573846147,TRUE,NA
41,fvfm_absolute,T0.3,46.822234775542434,55.05544733168474,-4.6302093561309565,-4.630209356130958,0.9900871154835211,0.9900871154835211,TRUE,NA
42,fvfm_absolute,T0.3,46.69267567861316,53.22095797038425,-3.6713875101246716,-3.6713875101246716,0.993672469007857,0.9936724690078572,TRUE,NA
43,fvfm_absolute,T0.3,41.13231614876503,48.56548931367729,-4.180281718615631,-4.180281718615631,0.9992383934355396,0.9992383934355396,TRUE,NA
